customer_id,region,city,latitude,longitude,signup_date,preferred_channel
C00001,West,Pune,19.03012,72.78556,2025-02-11,App
C00002,South,Hyderabad,13.02096,77.54066,2024-11-11,Web
C00003,West,Pune,19.08978,72.83805,2024-05-24,App
C00004,South,Bengaluru,12.86596,77.6995,2025-07-11,Web
C00005,North,Jaipur,28.49753,77.12994,2024-08-29,App
C00006,West,Pune,19.09232,72.83997,2024-08-11,Web
C00007,East,Kolkata,22.66335,88.38226,2025-09-01,App
C00008,West,Ahmedabad,19.20425,72.85965,2025-07-18,App
C00009,West,Mumbai,18.97606,72.90184,2025-03-21,App
C00010,South,Chennai,13.00214,77.36392,2024-06-02,Web
C00011,South,Bengaluru,12.95256,77.61689,2024-02-23,App
C00012,South,Bengaluru,13.05724,77.6032,2025-07-31,App
C00013,East,Patna,22.57322,88.34249,2025-03-10,App
C00014,West,Pune,19.12664,72.76928,2024-04-15,App
C00015,West,Mumbai,19.07639,72.95297,2025-03-25,App
C00016,North,Delhi,28.51632,77.09533,2024-07-01,App
C00017,North,Delhi,28.70749,77.21284,2024-07-13,Web
C00018,East,Patna,22.63979,88.32729,2025-02-06,App
C00019,North,Jaipur,28.67795,77.07052,2025-05-27,Web
C00020,North,Jaipur,28.64334,77.20729,2024-03-13,App
C00021,South,Chennai,12.91149,77.5827,2024-02-17,App
C00022,West,Mumbai,19.06564,72.86212,2024-10-29,App
C00023,South,Hyderabad,12.82038,77.61601,2024-12-30,Web
C00024,West,Mumbai,19.02901,72.97905,2024-09-30,App
C00025,South,Bengaluru,12.81031,77.54797,2024-01-28,App
C00026,West,Mumbai,19.0097,72.9673,2025-08-02,App
C00027,East,Bhubaneswar,22.485,88.49549,2024-02-03,App
C00028,South,Bengaluru,13.06041,77.60469,2025-06-01,App
C00029,South,Hyderabad,13.02458,77.56651,2025-01-11,App
C00030,North,Jaipur,28.5945,77.15614,2025-03-21,Web
C00031,North,Chandigarh,28.57456,77.22758,2025-06-26,App
C00032,South,Chennai,12.96673,77.70669,2024-01-04,Web
C00033,East,Patna,22.56516,88.44073,2025-01-26,App
C00034,West,Ahmedabad,19.07443,72.89403,2024-08-12,App
C00035,West,Pune,19.19108,72.86713,2024-05-18,App
C00036,South,Hyderabad,13.00099,77.65541,2024-09-17,App
C00037,East,Kolkata,22.5325,88.24493,2025-07-03,Web
C00038,West,Pune,19.01288,72.84695,2024-11-29,Web
C00039,West,Mumbai,18.99928,72.84831,2024-08-16,App
C00040,West,Ahmedabad,19.05188,72.73647,2024-03-18,Web
C00041,South,Chennai,12.99345,77.54603,2025-09-07,App
C00042,West,Ahmedabad,18.93503,72.86445,2024-05-24,App
C00043,West,Ahmedabad,19.1335,72.78389,2024-02-08,App
C00044,West,Mumbai,19.15434,72.94278,2024-10-15,App
C00045,North,Delhi,28.61533,77.30814,2025-02-14,Web
C00046,South,Hyderabad,12.99613,77.53934,2024-06-07,App
C00047,South,Bengaluru,12.82723,77.6392,2024-06-05,App
C00048,East,Patna,22.51006,88.40668,2024-10-18,Web
C00049,West,Pune,19.18189,72.8221,2024-05-13,Web
C00050,North,Delhi,28.45889,77.36897,2025-09-07,App
C00051,West,Mumbai,19.0884,72.89627,2024-05-06,App
C00052,South,Bengaluru,12.89592,77.52568,2025-04-06,Web
C00053,West,Pune,19.07182,72.88362,2024-01-01,App
C00054,South,Bengaluru,13.04112,77.65961,2024-11-04,App
C00055,South,Chennai,12.93212,77.64351,2024-08-31,App
C00056,South,Hyderabad,12.97477,77.49232,2024-12-12,App
C00057,North,Delhi,28.59305,77.26229,2024-06-28,App
C00058,East,Bhubaneswar,22.55978,88.3651,2024-06-04,Web
C00059,South,Hyderabad,12.87349,77.75727,2024-12-07,App
C00060,West,Ahmedabad,19.08385,72.84271,2024-11-13,App
C00061,South,Chennai,12.93445,77.6576,2024-01-18,App
C00062,East,Kolkata,22.50496,88.46346,2024-04-23,App
C00063,South,Chennai,12.96883,77.49851,2025-10-04,App
C00064,South,Chennai,12.91944,77.62155,2024-02-24,App
C00065,North,Chandigarh,28.55978,77.37714,2025-03-18,App
C00066,East,Patna,22.57969,88.47158,2025-08-31,App
C00067,West,Pune,19.10866,72.86207,2025-05-05,App
C00068,North,Jaipur,28.54126,77.23147,2024-05-30,App
C00069,West,Mumbai,19.13655,72.83422,2025-06-06,App
C00070,South,Bengaluru,12.87845,77.45467,2024-09-12,App
C00071,West,Pune,19.19027,72.94317,2024-12-29,App
C00072,South,Chennai,12.96799,77.61001,2024-07-27,App
C00073,South,Hyderabad,12.85884,77.50625,2024-10-04,App
C00074,North,Jaipur,28.61655,77.22273,2024-05-07,App
C00075,East,Kolkata,22.50641,88.32351,2025-01-12,App
C00076,South,Chennai,12.99042,77.53107,2025-10-07,App
C00077,South,Hyderabad,13.02489,77.47034,2025-02-04,App
C00078,North,Jaipur,28.52683,77.19537,2024-12-28,Web
C00079,West,Ahmedabad,19.15849,73.01529,2024-11-05,Web
C00080,West,Mumbai,19.0602,72.79992,2025-07-01,Web
C00081,West,Ahmedabad,19.08944,72.90435,2024-12-30,App
C00082,South,Bengaluru,12.90183,77.71838,2025-10-02,App
C00083,North,Chandigarh,28.60693,77.25111,2025-05-12,App
C00084,East,Patna,22.63322,88.27424,2025-09-04,App
C00085,West,Ahmedabad,19.06529,72.96361,2024-03-21,Web
C00086,North,Delhi,28.67904,77.23793,2024-09-24,App
C00087,East,Bhubaneswar,22.5835,88.38903,2025-01-25,Web
C00088,West,Pune,19.06614,72.88184,2024-08-10,App
C00089,West,Mumbai,19.08193,72.78866,2025-06-09,App
C00090,North,Delhi,28.64257,77.29162,2024-06-19,App
C00091,South,Bengaluru,12.91185,77.54771,2025-05-30,App
C00092,West,Pune,19.14783,72.88535,2024-04-17,Web
C00093,West,Ahmedabad,19.14926,72.84638,2024-01-29,App
C00094,East,Patna,22.66161,88.33104,2025-01-11,App
C00095,West,Pune,19.17447,72.75901,2024-01-03,Web
C00096,East,Kolkata,22.55052,88.23431,2025-03-07,App
C00097,North,Jaipur,28.53152,77.2466,2024-03-01,Web
C00098,West,Ahmedabad,18.98039,72.80702,2024-03-02,Web
C00099,North,Delhi,28.63486,77.25018,2025-07-28,App
C00100,North,Delhi,28.57726,77.24046,2024-08-05,App
C00101,North,Delhi,28.64303,77.25104,2024-04-08,App
C00102,South,Hyderabad,13.1295,77.73532,2024-03-02,App
C00103,North,Jaipur,28.56671,77.17017,2024-12-22,Web
C00104,West,Pune,19.0548,72.91294,2025-06-04,App
C00105,South,Chennai,12.95695,77.64747,2024-02-07,App
C00106,North,Delhi,28.54821,77.26899,2025-08-15,App
C00107,East,Patna,22.57233,88.3756,2024-10-15,App
C00108,West,Ahmedabad,19.09986,72.90066,2024-12-28,App
C00109,West,Mumbai,19.03908,72.86914,2024-01-31,App
C00110,West,Ahmedabad,19.08954,72.90719,2024-03-22,App
C00111,North,Delhi,28.63603,77.25241,2024-02-15,App
C00112,South,Bengaluru,12.84698,77.66712,2024-11-21,App
C00113,North,Delhi,28.59464,77.22141,2024-10-04,App
C00114,South,Bengaluru,12.99655,77.59864,2025-06-07,App
C00115,East,Patna,22.52449,88.38386,2024-07-28,App
C00116,North,Jaipur,28.57582,77.1731,2024-03-19,App
C00117,North,Jaipur,28.65753,77.21578,2024-10-11,Web
C00118,South,Hyderabad,13.04578,77.50678,2024-03-24,Web
C00119,North,Delhi,28.66671,77.08996,2024-01-21,App
C00120,West,Pune,19.04317,72.88482,2024-06-11,App
C00121,West,Ahmedabad,19.06509,72.85277,2025-08-06,App
C00122,North,Chandigarh,28.57868,77.25178,2025-07-15,App
C00123,North,Jaipur,28.69639,77.31648,2025-07-11,App
C00124,East,Kolkata,22.66757,88.41464,2025-05-15,App
C00125,South,Bengaluru,12.92758,77.52909,2024-09-30,Web
C00126,West,Ahmedabad,19.18522,72.89677,2024-10-27,App
C00127,North,Delhi,28.64049,77.20977,2024-02-15,App
C00128,East,Bhubaneswar,22.49471,88.37354,2024-08-29,App
C00129,South,Bengaluru,12.83729,77.57836,2025-08-11,App
C00130,East,Bhubaneswar,22.52243,88.32287,2024-05-01,App
C00131,North,Chandigarh,28.64722,77.32778,2024-11-12,Web
C00132,East,Bhubaneswar,22.59327,88.42822,2024-03-24,App
C00133,West,Pune,19.04521,72.87345,2024-11-09,App
C00134,North,Jaipur,28.70741,77.16766,2024-01-12,Web
C00135,North,Chandigarh,28.57855,77.24713,2024-12-21,App
C00136,North,Jaipur,28.63439,77.13669,2025-07-02,App
C00137,North,Chandigarh,28.64668,77.19327,2024-07-25,Web
C00138,West,Mumbai,18.97154,72.75882,2024-01-24,App
C00139,West,Pune,19.0214,72.85339,2025-08-30,App
C00140,East,Patna,22.57498,88.39899,2025-02-21,Web
C00141,South,Bengaluru,13.04368,77.54629,2024-09-24,Web
C00142,North,Jaipur,28.46149,77.3177,2025-06-03,App
C00143,South,Hyderabad,12.86987,77.54426,2025-01-09,App
C00144,North,Delhi,28.60077,77.31025,2025-09-14,App
C00145,North,Delhi,28.72729,77.26247,2024-01-28,App
C00146,West,Mumbai,18.99903,72.90815,2024-10-29,App
C00147,South,Bengaluru,12.95053,77.48882,2024-12-26,App
C00148,East,Bhubaneswar,22.54217,88.33909,2024-10-10,Web
C00149,West,Ahmedabad,19.21499,72.84643,2025-09-11,Web
C00150,North,Delhi,28.61288,77.2197,2024-01-20,App
C00151,North,Chandigarh,28.57895,77.17173,2024-06-09,App
C00152,West,Ahmedabad,19.0806,72.88906,2024-05-05,Web
C00153,South,Chennai,12.99941,77.72574,2025-03-02,App
C00154,North,Delhi,28.60093,77.149,2024-11-03,App
C00155,West,Mumbai,19.12188,72.93234,2024-12-17,Web
C00156,South,Hyderabad,12.89077,77.63345,2024-04-23,Web
C00157,West,Ahmedabad,19.0464,72.95186,2024-12-10,App
C00158,East,Kolkata,22.64716,88.30984,2024-10-30,App
C00159,West,Pune,19.09928,72.87583,2025-07-28,Web
C00160,West,Mumbai,19.10137,72.91669,2024-06-07,App
C00161,South,Hyderabad,12.99311,77.62883,2024-01-19,App
C00162,South,Chennai,13.01558,77.59783,2025-10-02,App
C00163,South,Hyderabad,12.90314,77.53246,2024-05-22,App
C00164,North,Delhi,28.71092,77.31673,2024-10-17,App
C00165,South,Chennai,13.03564,77.59384,2024-03-25,App
C00166,North,Jaipur,28.6832,77.21582,2024-01-12,App
C00167,South,Chennai,12.89321,77.62866,2024-12-08,Web
C00168,North,Chandigarh,28.66547,77.19358,2025-09-10,Web
C00169,North,Delhi,28.63549,77.16099,2024-05-20,App
C00170,South,Hyderabad,12.95176,77.59376,2025-06-22,App
C00171,North,Jaipur,28.66003,77.17078,2024-01-02,App
C00172,North,Chandigarh,28.50686,77.21685,2024-04-17,App
C00173,North,Jaipur,28.52329,77.30083,2025-03-20,App
C00174,North,Jaipur,28.60512,77.21795,2025-07-12,App
C00175,West,Mumbai,19.11531,72.91248,2024-01-26,App
C00176,West,Unknown,18.99574,72.82428,2024-06-02,App
C00177,West,Ahmedabad,19.01121,72.91813,2024-07-20,App
C00178,South,Bengaluru,13.01427,77.6312,2025-07-14,App
C00179,North,Delhi,28.6369,77.27265,2025-02-22,App
C00180,South,Bengaluru,13.11368,77.61043,2025-03-16,App
C00181,East,Patna,22.56986,88.46905,2025-07-07,App
C00182,West,Pune,19.04402,72.77281,2025-06-14,Web
C00183,West,Mumbai,19.14797,72.77395,2024-12-18,App
C00184,South,Chennai,13.07276,77.62207,2025-07-14,App
C00185,East,Bhubaneswar,22.63275,88.28881,2025-07-15,App
C00186,North,Jaipur,28.65764,77.25517,2024-06-20,App
C00187,South,Hyderabad,13.09653,77.5256,2025-03-17,App
C00188,North,Delhi,28.65091,77.16219,2024-02-24,App
C00189,West,Pune,19.16035,72.83104,2024-08-24,App
C00190,North,Jaipur,28.66131,77.17571,2025-03-31,Web
C00191,West,Pune,19.10351,72.82891,2025-05-23,App
C00192,West,Unknown,18.99347,72.82487,2025-03-24,App
C00193,East,Patna,22.46593,88.35961,2024-09-18,Web
C00194,West,Pune,19.1345,72.85149,2024-01-12,Web
C00195,West,Pune,19.15581,72.83657,2024-03-07,App
C00196,South,Hyderabad,13.03448,77.6363,2024-05-09,App
C00197,South,Bengaluru,12.97781,77.52348,2024-06-12,Web
C00198,West,Ahmedabad,19.09961,72.81077,2025-04-27,App
C00199,North,Jaipur,28.59016,77.20298,2025-06-20,App
C00200,North,Delhi,28.60553,77.02226,2025-06-26,App
C00201,East,Kolkata,22.58906,88.4595,2024-02-12,App
C00202,North,Chandigarh,28.68922,77.21966,2024-12-10,Web
C00203,North,Chandigarh,28.58809,77.18613,2024-05-28,App
C00204,East,Kolkata,22.52406,88.27717,2024-09-16,App
C00205,North,Delhi,28.65069,77.044,2025-02-23,App
C00206,West,Pune,19.14073,72.80394,2025-04-27,Web
C00207,West,Pune,18.96287,72.87806,2025-10-06,App
C00208,North,Chandigarh,28.59867,77.14543,2025-10-11,App
C00209,South,Hyderabad,13.00766,77.51236,2024-08-29,App
C00210,North,Delhi,28.64333,77.08259,2025-05-11,Web
C00211,North,Jaipur,28.74394,77.18119,2025-05-24,App
C00212,South,Bengaluru,12.91249,77.57004,2025-03-11,Web
C00213,North,Delhi,28.6767,77.28425,2024-04-29,App
C00214,South,Hyderabad,12.89715,77.73023,2024-08-29,App
C00215,West,Mumbai,19.04063,72.87195,2024-03-19,Web
C00216,North,Delhi,28.67345,77.19512,2024-03-27,App
C00217,East,Kolkata,22.57585,88.27244,2025-03-10,App
C00218,West,Ahmedabad,19.01685,72.85066,2025-05-13,App
C00219,East,Bhubaneswar,22.54166,88.36194,2025-07-03,Web
C00220,West,Mumbai,19.02488,72.79858,2024-11-24,App
C00221,East,Bhubaneswar,22.53734,88.38963,2025-09-08,App
C00222,West,Mumbai,19.22073,72.87761,2025-05-02,Web
C00223,East,Bhubaneswar,22.50401,88.30611,2025-06-06,App
C00224,East,Bhubaneswar,22.58311,88.34562,2025-09-17,Web
C00225,East,Patna,22.55201,88.37977,2024-05-01,Web
C00226,West,Pune,19.09728,72.86384,2024-05-28,Web
C00227,West,Ahmedabad,19.18448,72.87045,2024-08-23,App
C00228,South,Bengaluru,12.94631,77.61096,2025-04-10,App
C00229,West,Ahmedabad,19.03565,72.91214,2025-02-10,App
C00230,East,Patna,22.61703,88.47774,2025-09-21,Web
C00231,East,Kolkata,22.61053,88.37341,2024-04-20,App
C00232,West,Ahmedabad,19.00167,72.82439,2025-03-24,Web
C00233,East,Kolkata,22.52965,88.40935,2024-01-10,App
C00234,East,Kolkata,22.60795,88.35129,2025-01-27,App
C00235,North,Delhi,28.61095,77.26375,2024-01-14,App
C00236,West,Ahmedabad,19.13186,72.82688,2024-03-10,App
C00237,West,Ahmedabad,18.94388,72.78781,2024-06-02,App
C00238,North,Jaipur,28.49555,77.17413,2024-07-06,App
C00239,North,Jaipur,28.77628,77.19413,2024-02-24,App
C00240,East,Patna,22.5772,88.2955,2024-06-07,App
C00241,West,Pune,19.10508,72.88575,2024-04-26,App
C00242,North,Chandigarh,28.70604,77.15519,2024-04-22,App
C00243,East,Patna,22.56121,88.29343,2024-10-29,App
C00244,West,Ahmedabad,19.20052,72.95458,2025-02-02,App
C00245,East,Kolkata,22.55023,88.38315,2025-05-19,App
C00246,East,Bhubaneswar,22.57316,88.46919,2024-09-10,Web
C00247,West,Ahmedabad,19.12777,72.85326,2025-03-01,App
C00248,South,Unknown,13.00437,77.60016,2024-03-14,App
C00249,North,Chandigarh,28.63158,77.19218,2025-10-02,Web
C00250,South,Bengaluru,12.90504,77.58349,2025-02-11,App
C00251,North,Jaipur,28.59676,77.20568,2025-09-23,App
C00252,West,Pune,19.09594,72.8913,2025-07-09,App
C00253,East,Patna,22.559,88.27461,2025-03-16,App
C00254,North,Chandigarh,28.53881,77.21435,2024-07-21,Web
C00255,North,Jaipur,28.64354,77.23654,2024-11-08,App
C00256,West,Mumbai,19.07969,72.91032,2024-10-31,App
C00257,South,Bengaluru,12.96768,77.56226,2024-06-09,App
C00258,West,Ahmedabad,19.04478,72.81397,2024-10-15,Web
C00259,West,Mumbai,19.08401,72.90467,2025-02-26,App
C00260,South,Bengaluru,13.08775,77.56086,2025-05-31,App
C00261,East,Bhubaneswar,22.70065,88.36135,2025-08-10,App
C00262,South,Chennai,12.92268,77.54801,2025-07-14,App
C00263,South,Hyderabad,12.91805,77.52669,2024-08-01,App
C00264,West,Pune,19.10987,72.99886,2024-01-26,App
C00265,South,Bengaluru,13.10123,77.52673,2025-07-07,App
C00266,West,Pune,19.07965,72.88736,2025-03-02,App
C00267,West,Mumbai,18.98651,72.94823,2025-08-19,App
C00268,West,Pune,18.99026,73.01129,2025-07-07,App
C00269,East,Kolkata,22.45102,88.52534,2024-09-15,App
C00270,South,Chennai,12.98188,77.72406,2025-09-04,App
C00271,West,Ahmedabad,19.01061,72.87941,2024-01-16,App
C00272,West,Pune,19.0997,72.82398,2024-09-16,App
C00273,North,Delhi,28.63363,77.22907,2025-01-16,App
C00274,South,Hyderabad,12.96513,77.60859,2025-03-09,Web
C00275,West,Mumbai,19.05213,72.88872,2024-08-13,App
C00276,North,Jaipur,28.61733,77.17111,2024-07-08,Web
C00277,West,Pune,19.18667,72.80576,2024-11-09,App
C00278,West,Ahmedabad,19.21097,72.90421,2024-10-15,App
C00279,East,Patna,22.51865,88.33387,2025-03-29,Web
C00280,South,Chennai,13.00408,77.59821,2025-08-01,App
C00281,North,Chandigarh,28.73603,77.27686,2024-11-08,Web
C00282,West,Ahmedabad,18.99441,72.92126,2025-01-27,App
C00283,West,Ahmedabad,19.15213,72.81719,2024-08-06,App
C00284,South,Bengaluru,12.97976,77.67499,2025-06-30,App
C00285,North,Jaipur,28.58548,77.24516,2024-06-02,Web
C00286,West,Pune,19.13751,73.01271,2024-03-03,App
C00287,East,Bhubaneswar,22.63125,88.38387,2024-04-29,App
C00288,North,Delhi,28.72948,77.26395,2025-01-10,App
C00289,North,Jaipur,28.57407,77.16738,2024-08-09,Web
C00290,West,Mumbai,19.08967,72.91635,2025-09-13,Web
C00291,South,Chennai,13.11644,77.61297,2025-07-29,App
C00292,South,Bengaluru,13.06056,77.60724,2024-07-19,Web
C00293,West,Mumbai,19.12173,72.70429,2024-01-08,App
C00294,South,Chennai,13.01406,77.64758,2025-06-10,App
C00295,East,Patna,22.58495,88.4666,2025-07-03,App
C00296,South,Hyderabad,13.01824,77.73111,2024-03-16,Web
C00297,East,Patna,22.55857,88.50891,2024-12-26,App
C00298,South,Bengaluru,12.97696,77.55024,2025-07-26,App
C00299,South,Bengaluru,12.96759,77.57569,2025-03-16,App
C00300,East,Kolkata,22.43559,88.43049,2024-02-18,App
C00301,South,Chennai,12.93246,77.64391,2025-01-16,App
C00302,West,Mumbai,19.04218,72.94994,2025-07-24,App
C00303,East,Patna,22.57139,88.45624,2024-11-28,Web
C00304,East,Kolkata,22.52389,88.28212,2024-09-24,App
C00305,West,Mumbai,19.1469,72.9327,2025-06-03,App
C00306,West,Pune,19.11479,72.8259,2024-11-19,App
C00307,North,Delhi,28.46641,77.19538,2024-11-27,Web
C00308,East,Kolkata,22.52775,88.43645,2024-07-20,App
C00309,East,Bhubaneswar,22.45729,88.34042,2025-01-11,App
C00310,West,Mumbai,19.05937,72.80566,2025-01-21,App
C00311,South,Chennai,12.97706,77.76408,2024-08-22,App
C00312,North,Delhi,28.57843,77.29227,2024-05-06,App
C00313,West,Pune,19.0237,72.99961,2024-04-16,App
C00314,South,Hyderabad,12.92154,77.68051,2024-01-30,Web
C00315,West,Ahmedabad,19.06375,72.76174,2024-02-10,App
C00316,South,Bengaluru,12.92494,77.65712,2024-04-27,App
C00317,North,Delhi,28.68324,77.14731,2024-01-07,App
C00318,East,Patna,22.54204,88.44279,2025-03-02,App
C00319,North,Delhi,28.57761,77.12977,2025-01-26,Web
C00320,South,Bengaluru,12.93149,77.5592,2025-03-09,App
C00321,West,Pune,19.07906,72.76513,2024-06-03,App
C00322,North,Delhi,28.51569,77.213,2025-06-25,App
C00323,South,Chennai,12.96669,77.59817,2024-03-27,App
C00324,North,Chandigarh,28.60908,77.20881,2025-03-06,App
C00325,North,Delhi,28.63582,77.18184,2025-01-13,Web
C00326,East,Bhubaneswar,22.6363,88.49216,2025-05-11,App
C00327,West,Ahmedabad,19.08555,72.81027,2025-01-19,App
C00328,East,Patna,22.58555,88.40617,2025-03-10,App
C00329,South,Hyderabad,13.02558,77.5449,2024-06-13,Web
C00330,East,Bhubaneswar,22.59957,88.46819,2024-03-04,App
C00331,South,Hyderabad,13.07152,77.5459,2025-01-29,App
C00332,South,Hyderabad,12.97492,77.53089,2025-06-07,App
C00333,South,Chennai,12.97188,77.53113,2024-08-15,App
C00334,South,Chennai,12.92751,77.65864,2025-05-13,Web
C00335,South,Chennai,12.98451,77.6006,2024-12-30,App
C00336,North,Delhi,28.6095,77.13835,2024-05-26,App
C00337,West,Mumbai,19.02476,72.93755,2024-10-13,Web
C00338,North,Chandigarh,28.66129,77.35558,2025-07-19,App
C00339,West,Mumbai,19.1099,72.94195,2025-06-30,App
C00340,North,Delhi,28.64335,77.24348,2024-10-18,App
C00341,West,Mumbai,19.12652,72.95728,2024-07-06,Web
