store_id,store_name,region,city,latitude,longitude,store_tier,storage_capacity_sqft,opening_date
S001,Dark Store 01,North,Delhi,28.63235,77.20378,Tier 2,3438,2024-05-01
S002,Dark Store 02,South,Hyderabad,12.98256,77.63547,Tier 2,3485,2024-09-14
S003,Dark Store 03,East,Patna,22.58049,88.36531,Tier 1,2755,2024-10-03
S004,Dark Store 04,West,Mumbai,19.14581,72.94924,Tier 1,2274,2024-02-28
S005,Dark Store 05,North,Jaipur,28.58607,77.20471,Tier 3,3606,2024-07-08
S006,Dark Store 06,South,Chennai,12.97999,77.55544,Tier 2,3067,2024-05-10
S007,Dark Store 07,East,Kolkata,22.58877,88.39746,Tier 2,3097,2024-03-29
S008,Dark Store 08,West,Pune,19.05297,72.86687,Tier 2,3190,2024-09-20
S009,Dark Store 09,North,Chandigarh,28.64701,77.15506,Tier 1,4413,2024-04-15
S010,Dark Store 10,South,Bengaluru,12.94923,77.593,Tier 3,3379,2024-06-10
S011,Dark Store 11,East,Bhubaneswar,22.60143,88.35228,Tier 2,2255,2024-08-02
S012,Dark Store 12,West,Ahmedabad,19.1054,72.88115,Tier 3,2137,2024-02-22
S013,Dark Store 13,North,Delhi,28.63074,77.21387,Tier 2,2292,2024-02-10
S014,Dark Store 14,South,Hyderabad,12.93205,77.5669,Tier 1,4368,2024-05-08
S015,Dark Store 15,East,Patna,22.5962,88.39995,Tier 2,4136,2024-09-17
S016,Dark Store 16,West,Mumbai,19.08952,72.90687,Tier 3,2000,2024-09-24
S017,Dark Store 17,North,Jaipur,28.58844,77.20165,Tier 1,3551,2024-10-19
S018,Dark Store 18,South,Chennai,13.00656,77.65103,Tier 3,2760,2024-08-14
S019,Dark Store 19,East,Kolkata,22.58627,88.33097,Tier 2,2302,2024-09-11
S020,Dark Store 20,West,Pune,19.05233,72.89498,Tier 2,2663,2024-08-18
S021,Dark Store 21,North,Chandigarh,28.72851,77.16387,Tier 2,4332,2024-08-18
S022,Dark Store 22,South,Bengaluru,13.03651,77.56668,Tier 1,2983,2024-07-05
S023,Dark Store 23,East,Bhubaneswar,22.60172,88.37624,Tier 2,3397,2024-05-13
S024,Dark Store 24,West,Ahmedabad,19.01329,72.8697,Tier 2,3781,2024-05-07
