order_id,line_number,product_id,quantity,unit_price,line_revenue
O0000001,1,P0067,1,28.46,28.46
O0000002,1,P0065,1,71.97,71.97
O0000003,1,P0065,1,71.97,71.97
O0000004,1,P0043,1,30.05,30.05
O0000004,2,P0054,1,110.67,110.67
O0000004,3,P0049,2,63.74,127.48
O0000004,4,P0032,1,35.8,35.8
O0000005,1,P0037,1,53.44,53.44
O0000005,2,P0005,1,78.89,78.89
O0000005,3,P0047,1,109.33,109.33
O0000006,1,P0014,1,47.23,47.23
O0000006,2,P0036,1,58.17,58.17
O0000006,3,P0016,1,58.47,58.47
O0000006,4,P0042,1,79.38,79.38
O0000007,1,P0004,1,47.94,47.94
O0000007,2,P0020,2,54.21,108.42
O0000007,3,P0016,1,58.47,58.47
O0000007,4,P0065,1,71.97,71.97
O0000007,5,P0031,1,29.37,29.37
O0000007,6,P0042,1,79.38,79.38
O0000008,1,P0001,1,39.81,39.81
O0000009,1,P0075,2,143.87,287.74
O0000009,2,P0018,1,89.68,89.68
O0000009,3,P0038,1,68.95,68.95
O0000009,4,P0009,1,38.06,38.06
O0000010,1,P0073,1,56.34,56.34
O0000011,1,P0010,1,101.78,101.78
O0000011,2,P0024,2,37.29,74.58
O0000011,3,P0008,1,28.73,28.73
O0000011,4,P0004,2,47.94,95.88
O0000012,1,P0038,2,68.95,137.9
O0000013,1,P0003,2,45.7,91.4
O0000014,1,P0043,1,30.05,30.05
O0000014,2,P0064,1,36.46,36.46
O0000014,3,P0009,1,38.06,38.06
O0000014,4,P0001,2,39.81,79.62
O0000014,5,P0002,1,47.11,47.11
O0000014,6,P0065,1,71.97,71.97
O0000015,1,P0011,1,45.27,45.27
O0000016,1,P0006,1,33.97,33.97
O0000016,2,P0050,1,82.83,82.83
O0000016,3,P0019,1,58.43,58.43
O0000016,4,P0004,1,47.94,47.94
O0000017,1,P0042,2,79.38,158.76
O0000017,2,P0043,1,30.05,30.05
O0000017,3,P0073,1,56.34,56.34
O0000017,4,P0065,1,71.97,71.97
O0000017,5,P0030,1,37.94,37.94
O0000018,1,P0061,1,129.09,129.09
O0000019,1,P0073,2,56.34,112.68
O0000019,2,P0009,1,38.06,38.06
O0000019,3,P0065,1,71.97,71.97
O0000019,4,P0024,2,37.29,74.58
O0000019,5,P0047,1,109.33,109.33
O0000020,1,P0024,2,37.29,74.58
O0000020,2,P0046,1,77.37,77.37
O0000020,3,P0074,2,84.99,169.98
O0000021,1,P0050,2,82.83,165.66
O0000021,2,P0036,1,58.17,58.17
O0000021,3,P0005,3,78.89,236.67
O0000022,1,P0065,1,71.97,71.97
O0000023,1,P0021,1,65.9,65.9
O0000023,2,P0012,1,80.31,80.31
O0000024,1,P0065,1,71.97,71.97
O0000024,2,P0021,1,65.9,65.9
O0000025,1,P0054,3,110.67,332.01
O0000026,1,P0032,1,35.8,35.8
