order_id,customer_id,store_id,order_datetime,order_status,payment_method,delivery_distance_km,delivery_type
O0000001,C11432,S010,2025-11-29 18:52:00,Cancelled,Card,1558.26,Standard
O0000002,C07373,S008,2025-04-18 13:49:00,Completed,Card,1163.89,Standard
O0000003,C00768,S021,2025-07-22 21:14:00,Completed,UPI,1770.4,Standard
O0000004,C01757,S010,2025-10-29 22:40:00,Completed,Wallet,1739.5,Standard
O0000005,C10163,S016,2025-10-08 15:45:00,Completed,UPI,833.79,Express
O0000006,C08027,S010,2025-12-21 13:58:00,Completed,Cash on Delivery,1738.52,Express
O0000007,C01140,S010,2025-01-06 22:50:00,Completed,Card,1743.5,Express
O0000008,C06894,S013,2025-08-22 20:53:00,Completed,Card,1728.39,Standard
O0000009,C01405,S011,2025-02-25 19:43:00,Completed,UPI,1344.78,Standard
O0000010,C07784,S020,2025-01-27 10:42:00,Completed,Card,1150.6,Express
O0000011,C03733,S019,2025-10-01 18:54:00,Completed,UPI,1555.19,Standard
O0000012,C01811,S010,2025-06-15 19:58:00,Completed,Wallet,1565.43,Standard
O0000013,C03731,S019,2025-11-14 18:02:00,Completed,UPI,1556.9,Standard
O0000014,C07301,S010,2025-06-07 15:16:00,Completed,Wallet,13.04,Standard
O0000015,C06943,S021,2025-07-26 20:04:00,Completed,UPI,1152.32,Standard
O0000016,C10289,S019,2025-11-27 20:06:00,Completed,Wallet,1674.86,Standard
O0000017,C00886,S007,2025-09-19 22:17:00,Completed,UPI,1567.24,Express
O0000018,C04073,S015,2025-02-10 20:03:00,Completed,Card,13.38,Express
O0000019,C10063,S008,2025-09-02 17:51:00,Completed,Card,6.75,Express
O0000020,C11776,S010,2025-04-06 12:37:00,Completed,Card,14.9,Express
O0000021,C11674,S001,2025-03-07 09:42:00,Completed,Wallet,1740.75,Express
O0000022,C03360,S016,2025-03-15 20:45:00,Cancelled,Card,838.52,Standard
O0000023,C03826,S004,2025-03-22 19:28:00,Completed,Cash on Delivery,13.22,Express
O0000024,C03290,S010,2025-08-21 15:48:00,Completed,Card,1551.35,Standard
O0000025,C07763,S019,2025-08-21 11:14:00,Completed,Card,1348.49,Standard
O0000026,C05937,S016,2025-11-14 13:37:00,Completed,Card,1152.42,Standard
O0000027,C05689,S004,2025-03-07 22:25:00,Cancelled,Wallet,1657.67,Standard
O0000028,C01637,S019,2025-12-06 18:45:00,Completed,Card,1548.45,Standard
O0000029,C10020,S021,2025-11-08 19:42:00,Completed,Card,6.79,Express
O0000030,C02921,S010,2025-03-24 17:15:00,Completed,Wallet,1746.81,Standard
O0000031,C10833,S018,2025-12-17 20:18:00,Completed,UPI,1547.25,Express
O0000032,C00147,S008,2025-12-13 19:45:00,Completed,UPI,833.28,Standard
O0000033,C10559,S010,2025-06-14 21:00:00,Completed,UPI,1743.44,Express
O0000034,C01837,S003,2025-02-14 18:39:00,Completed,UPI,1668.95,Express
O0000035,C08086,S005,2025-07-19 15:46:00,Completed,Card,2.86,Express
O0000036,C04500,S015,2025-05-02 12:55:00,Completed,UPI,9.12,Standard
O0000037,C02310,S011,2025-10-21 21:00:00,Completed,Card,1553.67,Standard
O0000038,C09261,S002,2025-11-07 20:01:00,Cancelled,UPI,2.13,Standard
O0000039,C05938,S012,2025-12-07 17:41:00,Cancelled,Card,1154.58,Standard
O0000040,C04468,S004,2025-02-05 21:55:00,Completed,Card,24.15,Express
O0000041,C03685,S002,2025-06-09 10:47:00,Completed,Wallet,848.23,Standard
O0000042,C00091,S010,2025-07-27 10:56:00,Completed,UPI,6.31,Express
O0000043,C02282,S010,2025-09-14 23:28:00,Completed,Cash on Delivery,842.89,Standard
O0000044,C05057,S021,2025-03-24 19:57:00,Cancelled,Cash on Delivery,21.53,Express
O0000045,C02133,S019,2025-04-05 19:41:00,Completed,Card,1673.9,Standard
O0000046,C10404,S006,2025-06-04 13:27:00,Completed,UPI,1552.73,Express
O0000047,C08253,S012,2025-05-25 17:30:00,Completed,Wallet,21.02,Express
O0000048,C10661,S004,2025-03-10 19:02:00,Completed,Cash on Delivery,20.47,Standard
O0000049,C01457,S008,2025-09-10 14:27:00,Completed,Wallet,832.36,Express
O0000050,C01727,S006,2025-06-08 18:26:00,Completed,Card,1743.74,Express
O0000051,C10495,S009,2025-06-06 15:56:00,Completed,Card,1155.69,Express
O0000052,C08610,S021,2025-01-24 16:57:00,Completed,Wallet,1158.17,Express
O0000053,C05305,S001,2025-07-13 23:44:00,Completed,UPI,10.89,Standard
O0000054,C02586,S002,2025-10-09 21:30:00,Completed,UPI,1737.65,Standard
O0000055,C09888,S009,2025-03-23 09:00:00,Completed,UPI,1742.15,Standard
O0000056,C06046,S021,2025-03-02 08:31:00,Cancelled,Card,13.9,Standard
O0000057,C08138,S024,2025-11-30 21:06:00,Completed,UPI,4.21,Express
